date,base_actual,peak_actual,offpeak_actual,n_hours,n_peak_hours,qa_flag_missing_hours,base_actual_test,peak_actual_test,offpeak_actual_test,base_seasonalnaive_d1,peak_seasonalnaive_d1,offpeak_seasonalnaive_d1,base_seasonalnaive_d7,peak_seasonalnaive_d7,offpeak_seasonalnaive_d7,base_elasticnet,peak_elasticnet,offpeak_elasticnet,base_lightgbm,peak_lightgbm,offpeak_lightgbm,spread_base_seasonalnaive_d1,spread_peak_seasonalnaive_d1,spread_base_seasonalnaive_d7,spread_peak_seasonalnaive_d7,spread_base_elasticnet,spread_peak_elasticnet,spread_base_lightgbm,spread_peak_lightgbm,proxy_base,proxy_peak,proxy_offpeak,spread_base,spread_pct_base,spread_peak,spread_pct_peak,spread_offpeak,spread_pct_offpeak,signal,conviction,action,pnl_daily,pnl_cumulative,pnl_rolling_7d,is_loss,consec_losses
2024-01-01,16.18166666666667,17.898333333333333,14.464999999999998,24,12,False,16.88086956521739,17.898333333333333,15.770909090909091,8.744782608695653,12.8575,4.258181818181818,0.5978260869565217,5.4375,-4.681818181818182,16.780779112918644,19.081789664845846,14.270585783543517,16.895810826497488,20.084854130286637,13.416854495091146,-7.436884057971016,-5.0408333333333335,-15.583840579710149,-12.460833333333332,0.5991124462519757,1.183456331512513,0.7141441598308198,2.186520796953303,20.687916666666666,27.68309523809524,13.692738095238097,-3.792105840169178,-18.330051794336523,-7.5982411078086045,-27.44722381098671,-0.2758836001469511,-2.0148168921955407,0,Weak,HOLD,-0.0,-0.0,-0.0,False,0
2024-01-02,53.07333333333333,74.30499999999999,31.84166666666667,24,12,False,53.07333333333333,74.30499999999999,31.84166666666667,16.18166666666667,17.898333333333333,14.464999999999998,16.622083333333332,18.029166666666665,15.215000000000002,52.18403433922174,69.88678530448799,34.4812833739555,50.87770159294405,71.3966474682807,30.35875571760738,-36.891666666666666,-56.40666666666666,-36.45125,-56.27583333333333,-0.8892989941115914,-4.418214695512006,-2.195631740389281,-2.908352531719288,22.94142857142857,29.46321428571429,16.419642857142858,27.93627302151548,121.7721596304928,41.93343318256642,142.32470624530097,13.939112860464522,84.89291138510204,1,Strong,BUY,30.13190476190476,30.13190476190476,15.06595238095238,False,0
2024-01-03,45.215,65.5275,24.9025,24,12,False,45.215,65.5275,24.9025,53.07333333333333,74.30499999999999,31.84166666666667,60.79833333333334,75.97833333333334,45.61833333333333,41.20207768129469,54.86752531477714,27.536630047812228,39.09206896149848,53.030260627005326,25.15387729599164,7.858333333333327,8.77749999999999,15.583333333333336,10.450833333333335,-4.012922318705314,-10.659974685222863,-6.122931038501527,-12.497239372994676,28.14875,37.50261904761904,18.794880952380954,10.943318961498477,38.87674927482917,15.527641579386284,41.40415249310994,6.358996343610688,33.833661195949865,1,Strong,BUY,17.066250000000004,47.19815476190476,15.732718253968253,False,0
2024-01-04,85.41000000000001,103.2425,67.5775,24,12,False,85.41000000000001,103.2425,67.5775,45.215,65.5275,24.9025,16.669999999999998,28.07166666666667,5.2683333333333335,86.31184670518677,103.00053324688788,69.62316016348566,80.56446755027109,102.09533443900024,59.03360066154195,-40.19500000000001,-37.715,-68.74000000000001,-75.17083333333333,0.901846705186756,-0.2419667531121234,-4.845532449728921,-1.147165560999781,25.92255952380952,36.00964285714286,15.83547619047619,54.641908026461564,210.7890155533203,66.08569158185739,183.52220777093507,43.19812447106577,272.7933404178025,1,Strong,BUY,59.487440476190486,106.68559523809525,26.67139880952381,False,0
2024-01-05,91.37041666666666,98.5,84.24083333333333,24,12,False,91.37041666666666,98.5,84.24083333333333,85.41000000000001,103.2425,67.5775,6.359583333333333,8.19,4.529166666666666,106.59347749950854,120.17142664506402,93.01552835395306,109.33350294233084,124.19329039208414,94.47371549257755,-5.960416666666646,4.742500000000007,-85.01083333333332,-90.31,15.22306083284188,21.671426645064017,17.963086275664182,25.693290392084137,35.742559523809526,46.748333333333335,24.736785714285713,73.5909434185213,205.89164402034353,77.4449570587508,165.66356816731604,69.73692977829184,281.91589070530756,1,Strong,BUY,55.62785714285713,162.31345238095238,32.462690476190474,False,0
2024-01-06,88.72458333333333,97.26083333333334,80.18833333333333,24,12,False,88.72458333333333,97.26083333333334,80.18833333333333,91.37041666666666,98.5,84.24083333333333,34.055416666666666,45.2175,22.893333333333334,95.00411358530224,106.00223204646,84.00599512414449,92.33672846245638,100.44401995121886,84.22943697369388,2.6458333333333286,1.2391666666666623,-54.66916666666666,-52.04333333333334,6.279530251968922,8.74139871312667,3.61214512912305,3.183186617885525,47.886964285714285,59.64976190476191,36.12416666666667,44.44976417674209,92.82226351107919,40.79425804645695,68.3896410376121,48.10527030702721,133.16644990295657,1,Strong,BUY,40.83761904761904,203.1510714285714,33.858511904761905,False,0
2024-01-07,86.32666666666667,91.02916666666664,81.62416666666667,24,12,False,86.32666666666667,91.02916666666664,81.62416666666667,88.72458333333333,97.26083333333334,80.18833333333333,9.902916666666666,12.8575,6.948333333333333,86.50607200453305,92.05530215648815,80.95684185257794,91.7311927166417,95.98561260289743,87.47677283038597,2.39791666666666,6.231666666666683,-76.42375,-78.17166666666665,0.1794053378663846,1.026135489821499,5.404526049975033,4.956445936230779,55.696845238095236,67.0845238095238,44.30916666666666,36.034347478546465,64.69728639836836,28.90108879337363,43.08160385163325,43.167606163719306,97.42364709421145,1,Strong,BUY,30.629821428571432,233.78089285714285,33.397270408163266,False,0
2024-01-08,102.22958333333332,112.22916666666669,92.23,24,12,False,102.22958333333332,112.22916666666669,92.23,86.32666666666667,91.02916666666664,81.62416666666667,16.18166666666667,17.898333333333333,14.464999999999998,108.62043804426968,119.8447195548688,97.39615653367052,106.94976311866964,115.6703074289752,98.22921880836412,-15.902916666666655,-21.200000000000017,-86.04791666666665,-94.33083333333336,6.3908547109363525,7.615552888202117,4.720179785336327,3.441140762308521,66.61452380952382,78.25190476190475,54.97714285714285,40.33523930914582,60.550217884135236,37.41840266707045,47.81788095883743,43.25207595122127,78.67283329657752,1,Strong,BUY,35.61505952380951,269.39595238095234,38.485136054421766,False,0
2024-01-09,109.39458333333334,119.86416666666666,98.925,24,12,False,109.39458333333334,119.86416666666666,98.925,102.22958333333332,112.22916666666669,92.23,53.07333333333333,74.30499999999999,31.84166666666667,119.16988852456926,130.56531221752348,107.77446483161503,114.73188505934844,125.55786370158889,103.905906417108,-7.1650000000000205,-7.634999999999991,-56.32125000000001,-45.55916666666667,9.775305191235915,10.701145550856822,5.337301726015099,5.693697034922224,78.90708333333335,91.72773809523811,66.08642857142857,35.824801726015096,45.40124943495578,33.83012560635078,36.88102018958103,37.81947784567943,57.227298649983474,1,Strong,BUY,30.487499999999997,299.88345238095235,38.53593537414965,False,0
2024-01-10,111.83916666666666,124.53916666666667,99.13916666666668,24,12,False,111.83916666666666,124.53916666666667,99.13916666666668,109.39458333333334,119.86416666666666,98.925,45.215,65.5275,24.9025,122.90990510601507,134.7361191913876,111.08369102064256,114.8155224037825,127.3006706630141,102.33037414455087,-2.4445833333333127,-4.675000000000011,-66.62416666666665,-59.01166666666667,11.070738439348418,10.196952524720912,2.9763557371158385,2.761503996347429,86.95297619047619,98.23619047619047,75.6697619047619,27.862546213306302,32.04323467004921,29.06448018682363,29.58632663373484,26.660612239788975,35.23284806068779,1,Strong,BUY,24.886190476190464,324.7696428571428,39.65306972789115,False,0
