month,base_actual,base_forecast,base_proxy,peak_actual,peak_forecast,peak_proxy,offpeak_actual,offpeak_forecast,offpeak_proxy,pnl_total,pnl_mean,signal_avg,active_days,n_days,spread_base,spread_peak
2024-01,76.57114247311829,76.60315559192495,69.8640053763441,86.21204301075268,87.22652759617,79.72540706605223,66.93024193548388,65.97043155453095,60.00260368663594,632.0625,20.389112903225808,0.2903225806451613,27,31,0.03201311880665969,1.0144845854173212
2024-02,61.335847701149426,59.280815710404816,62.29448070607553,67.53704022988506,63.81376884495477,68.62366174055829,55.134655172413794,54.74786257585486,55.965299671592774,345.5444642857143,11.915326354679804,-0.06896551724137931,20,29,-2.0550319907446095,-3.7232713849302925
2024-03,64.6895500233754,62.89628041283674,66.07879608294931,63.726451612903226,59.63465703283682,66.4833064516129,65.68339442815248,66.19874155161449,65.67428571428572,370.98287784679087,11.967189607960997,0.0,24,31,-1.7932696105386654,-4.091794580066406
2024-04,62.360819444444445,57.82455471472033,61.068366373360945,52.82080555555556,47.365933236238455,52.81936507936508,71.90083333333334,68.28317619320221,69.34913852813854,578.1233074534161,19.27077691511387,0.03333333333333333,23,30,-4.536264729724117,-5.454872319317104
2024-05,67.21001344086021,61.565848780506435,64.17822196620584,49.251747311827955,43.56166072507628,45.4224039938556,85.16827956989248,79.57003683593659,82.93403993855607,641.7918452380952,20.702962749615974,0.0,26,31,-5.644164660353773,-5.690086586751676
2024-06,72.88772222222222,67.88715153908865,75.32774603174603,52.455444444444446,48.51027610798175,57.36750793650794,93.32,87.26402697019554,93.28798412698413,703.8913095238097,23.463043650793658,0.03333333333333333,27,30,-5.000570683133574,-3.945168336462693
2024-07,67.69702956989248,65.48233548617144,67.23311443932413,46.715940860215056,46.14933300239649,46.161547619047624,88.67811827956989,84.8153379699464,88.30468125960061,638.11625,20.584395161290324,0.0967741935483871,27,31,-2.2146940837210423,-0.5666078578185676
2024-08,82.04717741935484,76.74594046766222,79.42051459293396,59.73887096774193,57.180124801081845,55.550706605222736,104.35548387096775,96.31175613424257,103.29032258064517,674.4117261904761,21.755216973886327,0.06451612903225806,26,31,-5.301236951692616,-2.558746166660086
2024-09,78.30997222222223,75.71171734898698,85.1687003968254,70.94225,67.55513859080891,75.74336111111111,85.67769444444444,83.86829610716505,94.59403968253969,663.2958333333332,22.10986111111111,-0.3,27,30,-2.5982548732352484,-3.3871114091910925
2024-10,86.09135806451613,81.30964074838673,76.72563778801843,93.36282258064516,87.68756161606956,82.68837557603686,78.81324441687346,74.92869194318477,70.75910049627791,637.8205190476191,20.574855453149002,0.1935483870967742,26,31,-4.781717316129402,-5.6752609645756
2024-11,113.90644444444446,107.69608726671817,115.35132761904762,131.69575,123.29734440649196,132.7248492063492,96.11713888888889,92.09483012694433,97.97486141636142,851.4608999999999,28.382029999999997,-0.1,27,30,-6.210357177726294,-8.398405593508045
2024-12,108.31559139784946,101.96230958122895,109.76069892473117,134.22830645161292,123.09416897393338,136.05759984639016,82.40287634408602,80.83045018852451,83.4637980030722,1713.6123214285712,55.27781682027649,-0.12903225806451613,28,31,-6.353281816620509,-11.134137477679545
2025-01,114.1401612903226,109.28643679448041,111.30552803379416,130.98424731182794,124.43979172699744,127.7980376344086,97.2960752688172,94.1330818619634,94.81301843317972,1009.9395833333333,32.57869623655914,0.0967741935483871,27,31,-4.853724495842187,-6.5444555848305015
2025-02,128.52236607142856,126.38526815461714,127.52540391156462,136.96425595238094,133.82000311289116,136.403231292517,120.0804761904762,118.95053319634313,118.64757653061224,663.8887499999998,23.710312499999993,-0.03571428571428571,25,28,-2.1370979168114275,-3.1442528394897806
2025-03,94.61587774661056,92.7405102508068,100.17371986241902,85.4189247311828,85.39644629697177,93.29377496159753,103.85367302052785,100.15991924844215,107.05949937159615,696.3744979296066,22.463693481600213,-0.12903225806451613,26,31,-1.8753674958037578,-0.022478434211024023
2025-04,77.93565277777778,77.48084695109262,79.36502743271221,55.16802777777777,55.8571493209913,59.79477380952381,100.70327777777779,99.10454458119395,98.97145562770562,496.18097049689436,16.53936568322981,0.0,26,30,-0.4548058266851598,0.689121543213524
2025-05,67.33862903225807,65.0789048523686,68.06881720430107,35.37876344086021,34.86190724509842,35.67783794162826,99.29849462365591,95.29590245963875,100.45979646697388,495.2583333333333,15.976075268817205,-0.0967741935483871,27,31,-2.2597241798894743,-0.5168561957617896
2025-06,63.9875,57.33689595484437,62.29879365079365,29.81938888888889,21.821917118027592,28.40984126984127,98.1556111111111,92.85187479166116,96.18774603174603,505.31565476190474,16.843855158730157,-0.03333333333333333,25,30,-6.6506040451556245,-7.997471770861299
2025-07,87.79522849462366,83.98308394182055,86.76820852534561,69.09927419354838,67.02045419662541,66.01880952380952,106.49118279569893,100.9457136870157,107.51760752688173,350.34214285714296,11.30135944700461,-0.12903225806451613,24,31,-3.8121445528031046,-2.0788199969229737
2025-08,76.99025537634408,76.67520513602793,76.86219662058372,54.74341397849462,52.59230202543712,54.48329877112135,99.23709677419355,100.75810824661873,99.24109447004608,504.5201785714286,16.274844470046084,0.0,30,31,-0.3150502403161539,-2.1511119530575016
2025-09,83.51108333333333,80.42783392264981,80.12966269841269,75.7793611111111,71.35503189106703,70.0826507936508,91.24280555555556,89.50063595423259,90.1766746031746,823.7422619047619,27.458075396825397,0.13333333333333333,26,30,-3.0832494106835213,-4.424329220044072
