date,base_actual,peak_actual,offpeak_actual,n_hours,n_peak_hours,qa_flag_missing_hours,base_actual_test,peak_actual_test,offpeak_actual_test,base_seasonalnaive_d1,peak_seasonalnaive_d1,offpeak_seasonalnaive_d1,base_seasonalnaive_d7,peak_seasonalnaive_d7,offpeak_seasonalnaive_d7,base_elasticnet,peak_elasticnet,offpeak_elasticnet,base_lightgbm,peak_lightgbm,offpeak_lightgbm,spread_base_seasonalnaive_d1,spread_peak_seasonalnaive_d1,spread_base_seasonalnaive_d7,spread_peak_seasonalnaive_d7,spread_base_elasticnet,spread_peak_elasticnet,spread_base_lightgbm,spread_peak_lightgbm
2018-11-20,46.65375,53.61333333333334,39.69416666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,55.35874999999999,62.54,48.1775,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,77.80333333333333,95.62833333333333,59.97833333333333,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,80.33125,97.4775,63.185,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24,61.94583333333333,69.73166666666667,54.16,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,53.84583333333333,58.11333333333334,49.57833333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,73.66875,90.3925,56.945,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,75.50541666666666,91.51166666666667,59.49916666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,52.98875,57.10833333333333,48.86916666666667,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,50.39875,57.13833333333333,43.659166666666664,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,57.50208333333333,67.40916666666666,47.595,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,46.862500000000004,54.06916666666667,39.655833333333334,24,12,False,,,,,,,,,,,,,,,,,,,,,,,
