Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;39,981.75;4,605.00
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;38,085.75;3,188.00
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;37,063.50;2,486.75
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;36,834.25;2,696.25
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;36,835.25;3,070.50
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;37,364.50;3,791.75
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;38,128.75;4,288.50
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;39,656.00;5,651.00
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;42,319.50;7,387.75
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;45,831.00;7,953.50
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;48,541.50;7,637.00
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;50,758.50;8,093.00
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;50,774.50;8,006.25
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;49,664.00;8,362.25
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;49,080.00;10,931.75
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;48,108.50;13,955.75
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;48,951.75;17,531.25
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;51,810.50;20,498.50
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;53,062.50;21,754.00
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;52,333.75;21,486.75
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;49,889.75;19,888.00
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;47,795.00;19,251.50
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;47,785.50;21,095.00
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;45,031.50;20,158.75
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;43,457.25;19,350.50
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;41,935.25;18,669.50
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;41,090.50;17,810.50
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;41,423.50;16,885.75
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;43,138.75;16,421.75
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;46,632.25;17,246.25
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;53,150.50;20,942.50
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;57,999.25;23,798.00
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;60,552.25;24,542.00
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;61,936.75;24,696.75
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;62,547.25;24,920.75
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;63,110.75;25,948.00
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;62,821.50;26,673.00
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;62,112.00;27,530.25
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;60,812.75;28,448.75
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;60,505.00;30,052.00
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;60,759.25;30,757.25
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;62,448.00;31,016.25
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;63,085.75;29,258.00
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;61,886.75;25,666.25
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;58,590.50;20,207.00
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;54,729.25;14,528.25
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;51,590.75;10,382.00
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;47,962.25;5,461.25
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;45,407.25;3,500.00
Jan 3, 2024 1:00 AM;Jan 3, 2024 2:00 AM;43,547.25;2,016.75
Jan 3, 2024 2:00 AM;Jan 3, 2024 3:00 AM;42,619.25;734.00
Jan 3, 2024 3:00 AM;Jan 3, 2024 4:00 AM;43,083.00;655.75
