model,mae,rmse,r2,mape
Mean Baseline,41.05940679290371,56.024760772083866,-0.15144594451339444,inf
Hour-of-Day Average,39.66558502486047,53.40451000562764,-0.04625947108388906,inf
Linear Regression,45.17439468617536,64.77353683015623,-0.5391422361187577,inf
Random Forest,31.46697651988098,60.7243484605335,-0.35272420296971974,inf
