model,mae,rmse,smape,rmae_D,rmae_W
ElasticNet,9.584272964783292,15.267417664195872,20.739765147761034,0.36579202032570357,0.2824168064301348
Seasonal Naive D1,26.202156055191423,45.24543269962836,41.067618448527234,1.0000278201106674,0.772090826490614
Seasonal Naive D7,33.882308937356775,58.90436735480363,46.469272868312785,1.2931474599101855,0.9983995155112817
Hour×DOW Mean,47.636561265360264,77.2554265279739,50.58175698088887,1.8180903288807029,1.4036918137984915
Mean,50.10476958188465,80.84232951758223,51.37568667374167,1.9122916219786374,1.4764217446882342
